t,state,reason,active,lin,ang,nav_wants,x,y,stuck_s,rear_gap,front_gap,side_clear,nearest,guard_blocked,obstacle_mapped,near_mapped
200.8,monitoring,,0,0.0,0.0,1,1.728,1.175,0.1,4.699,2.146,1.698,1.96,0,0,0
200.9,monitoring,,0,0.0,0.0,1,1.698,1.167,0.0,4.729,2.117,1.706,1.965,0,0,0
201.0,monitoring,,0,0.0,0.0,1,1.669,1.159,0.1,4.759,2.079,1.714,1.971,0,0,0
201.1,monitoring,,0,0.0,0.0,1,1.639,1.152,0.0,4.788,2.049,1.722,1.977,0,0,0
201.2,monitoring,,0,0.0,0.0,1,1.609,1.144,0.12,4.818,2.02,1.73,1.983,0,0,0
201.3,monitoring,,0,0.0,0.0,1,1.58,1.136,0.0,4.848,1.991,1.738,1.99,0,0,0
201.4,monitoring,,0,0.0,0.0,1,1.55,1.129,0.1,4.877,1.962,1.746,1.997,0,0,0
201.5,monitoring,,0,0.0,0.0,1,1.52,1.121,0.0,4.907,1.933,1.754,2.005,0,0,0
201.6,monitoring,,0,0.0,0.0,1,1.491,1.114,0.11,4.937,1.904,1.762,2.013,0,0,0
201.7,monitoring,,0,0.0,0.0,1,1.469,1.108,0.0,4.966,1.875,1.77,2.021,0,0,0
201.8,monitoring,,0,0.0,0.0,1,1.469,1.108,0.12,4.988,1.85,1.775,2.027,0,0,0
201.9,monitoring,,0,0.0,0.0,1,1.469,1.108,0.24,4.942,1.838,1.765,2.028,0,0,0
202.0,monitoring,,0,0.0,0.0,1,1.469,1.108,0.35,4.907,1.824,1.758,2.028,0,0,0
202.1,monitoring,,0,0.0,0.0,1,1.469,1.108,0.0,4.882,1.82,1.755,2.028,0,0,0
202.2,monitoring,,0,0.0,0.0,1,1.468,1.108,0.1,4.888,1.821,1.755,2.029,0,0,0
202.3,monitoring,,0,0.0,0.0,1,1.462,1.108,0.21,4.885,1.823,1.76,2.029,0,0,0
202.4,monitoring,,0,0.0,0.0,1,1.44,1.107,0.32,4.897,1.812,1.759,2.03,0,0,0
202.5,monitoring,,0,0.0,0.0,1,1.409,1.106,0.0,4.924,1.785,1.761,2.031,0,0,0
202.6,monitoring,,0,0.0,0.0,1,1.379,1.106,0.12,4.954,1.756,1.762,2.015,0,0,0
202.7,monitoring,,0,0.0,0.0,1,1.348,1.105,0.0,4.984,1.726,1.764,1.985,0,0,0
202.8,monitoring,,0,0.0,0.0,1,1.317,1.104,0.1,5.014,1.696,1.766,1.956,0,0,0
202.9,monitoring,,0,0.0,0.0,1,1.287,1.103,0.0,5.044,1.666,1.767,1.926,0,0,0
203.0,monitoring,,0,0.0,0.0,1,1.256,1.102,0.1,5.074,1.636,1.769,1.896,0,0,0
203.1,monitoring,,0,0.0,0.0,0,1.226,1.102,0.0,5.104,1.603,1.771,1.866,0,0,0
203.2,monitoring,,0,0.0,0.0,1,1.196,1.101,0.12,5.134,1.573,1.772,1.836,0,0,0
203.3,monitoring,,0,0.0,0.0,1,1.168,1.1,0.0,5.163,1.545,1.774,1.807,0,0,0
203.4,monitoring,,0,0.0,0.0,1,1.141,1.099,0.11,5.19,1.518,1.776,1.78,0,0,0
203.5,monitoring,,0,0.0,0.0,1,1.13,1.099,0.22,5.216,1.492,1.777,1.754,0,0,0
203.6,monitoring,,0,0.0,0.0,1,1.13,1.099,0.33,5.497,1.482,1.78,1.741,0,0,0
203.7,monitoring,,0,0.0,0.0,1,1.13,1.099,0.44,,1.487,1.787,1.739,0,0,0
203.8,monitoring,,0,0.0,0.0,1,1.13,1.099,0.0,5.229,1.477,1.779,1.738,0,0,0
203.9,monitoring,,0,0.0,0.0,1,1.13,1.099,0.12,5.233,1.471,1.775,1.737,0,0,0
204.0,monitoring,,0,0.0,0.0,1,1.13,1.099,0.24,2.485,1.469,1.775,1.735,0,0,0
204.1,monitoring,,0,0.0,0.0,1,1.117,1.102,0.35,2.454,1.466,1.775,1.732,0,0,0
204.2,monitoring,,0,0.0,0.0,1,1.095,1.106,0.45,2.47,1.449,1.773,1.715,0,0,0
204.3,monitoring,,0,0.0,0.0,1,1.073,1.11,0.0,2.492,1.423,1.769,1.693,0,0,0
