ts,v_front,v_rear,set_left,set_right,meas_fl,meas_fr,meas_rl,meas_rr,stall,event
1788647760.739,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647760.834,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647760.949,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647761.041,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647761.135,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647761.235,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647761.340,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647761.434,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647761.534,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647761.634,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647761.762,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647761.837,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647761.934,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647762.037,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647762.138,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647762.256,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647762.336,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647762.437,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647762.537,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647762.634,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647762.743,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647762.834,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647762.936,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647763.044,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647763.137,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647763.234,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647763.349,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647763.446,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647763.544,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647763.640,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647763.739,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647763.835,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647763.938,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647764.045,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647764.134,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647764.235,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647764.352,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647764.435,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647764.542,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647764.646,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647764.734,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647764.838,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
